idx,Destino_ID,lat,lon
393,9100479079,41.606885,2.288425
394,9100479427,42.000361,2.282964
395,9100480482,41.592940,2.290122
396,9100485303,42.003214,2.290407
397,9100486027,41.544204,2.210261
398,9100491082,41.924950,2.284804
399,9100492927,41.932562,2.265932
400,9100493210,41.522614,2.245024
401,9100494258,41.950159,2.282347
402,9100495381,41.595284,2.281489
403,9100495996,41.606661,2.290090
404,9100497770,41.617231,2.294442
405,9100497829,41.545569,2.217966
406,9100498065,41.535897,2.211341
407,9100501076,41.607961,2.287210
408,9100502995,41.613714,2.292026
409,9100503205,41.544055,2.217529
410,9100503664,41.610877,2.239431
411,9100505409,41.523399,2.223953
412,9100505447,41.536458,2.210850
413,9100506888,41.612821,2.286228
414,9100507154,41.611021,2.286814
415,9100507921,41.604753,2.283938
416,9100509767,41.608057,2.288095
417,9100512676,41.551043,2.247244
418,9100513352,41.590882,2.288042
419,9100513427,41.526525,2.249458
420,9100513817,42.050277,2.248451
421,9100513843,41.542545,2.267056
422,9100515642,42.051853,2.253398
423,9100517197,41.539235,2.208575
424,9100517311,42.061877,2.273517
425,9100517366,41.929241,2.255914
426,9100517477,41.537615,2.212828
427,9100519718,41.537615,2.212828
428,9100519725,41.548750,2.208013
429,9100520022,41.608879,2.290621
430,9100520123,41.537528,2.212614
431,9100521595,41.618305,2.293063
432,9100521616,41.596081,2.578315
433,9100521678,41.599944,2.274573
434,9100521875,41.932376,2.255408
435,9100522267,41.537944,2.210773
436,9100522381,41.985352,2.312126
437,9100523486,41.932992,2.261336
438,9100523487,41.943368,2.257421
439,9100523982,41.609029,2.286280
440,9100524060,41.607945,2.293530
441,9100525754,41.606678,2.282952
442,9100526119,41.608008,2.287244
443,9100527263,41.927799,2.241630
444,9100527964,41.940727,2.246956
445,9100528087,42.058186,2.238710
446,9100528985,41.614871,2.373524
447,9100529116,41.925199,2.253796
448,9100529176,41.617105,2.294973
449,9100529300,41.541811,2.265636
450,9100530919,41.543116,2.219026
451,9100530921,41.579884,2.233200
452,9100535918,41.568837,2.034602
453,9100536466,41.534695,2.208433
454,9100536762,41.540300,2.271578
455,9100536947,41.594562,2.237770
456,9100537742,41.551043,2.247244
457,9100538933,41.606114,2.300811
458,9100539485,41.538268,2.211347
459,9100540106,42.005404,2.277775
460,9100540250,41.549295,2.239633
461,9100540782,41.546921,2.208966
462,9100541928,41.927869,2.253946
463,9100542069,41.539348,2.213093
464,9100542312,41.513799,2.240785
465,9100542720,42.051446,2.258303
466,9100542820,41.541348,2.264628
467,9100544203,41.543538,2.209294
468,9100544826,41.547279,2.203721
469,9100545628,41.536247,2.215520
470,9100547001,41.607819,2.242893
471,9100547290,41.613172,2.217870
472,9100550379,41.600215,2.281061
473,9100552330,41.538623,2.214425
474,9100553092,41.612156,2.293106
475,9100553669,41.548881,2.208202
476,9100553915,41.624854,2.296545
477,9100554598,41.605095,2.290546
478,9100556449,41.547647,2.220435
479,9100556483,41.989038,2.310133
480,9100556955,42.042140,2.273320
481,9100558804,41.604836,2.289352
482,9100559291,41.592128,2.282781
483,9100560544,41.575425,2.231921
484,9100562472,42.006632,2.289361
485,9100563070,42.046035,2.269832
486,9100563102,41.930990,2.248591
487,9100563721,41.551043,2.247244
488,9100563722,41.540498,2.263486
489,9100564797,41.930260,2.253396
490,9100565225,41.637352,2.158852
491,9100566100,41.571211,2.231809
492,9100568067,41.609925,2.278118
493,9100568310,41.535880,2.210780
494,9100569006,41.567654,2.227606
495,9100570919,41.608807,2.287812
496,9100572141,41.929051,2.298813
497,9100572378,42.058186,2.238912
498,9100573746,41.930197,2.256553
499,9100574514,41.556043,2.225913
500,9100574583,41.610877,2.239431
501,9100576264,41.548589,2.207587
502,9100576639,41.610877,2.239431
503,9100577666,41.938422,2.318959
504,9100577693,41.859316,2.228736
