direccion_normalizada,lat_orig,lon_orig,lat_snap,lon_snap,snap_dist_m,calle,highway_type,hgv_ok
BARCELONA 110|08521|LES FRANQUESES DEL VALLES,41.647503,2.306631,41.645084,2.304290,332.03,Camí antic de Marata,,0
BARCELONES 9|08520|CORRO D AVALL,41.632553,2.298299,41.632542,2.298507,17.38,Carrer de Tagamanent,,1
BERENGUER III 71|08100|MOLLET DEL VALLES,41.536247,2.215520,41.536247,2.215520,0.00,Carrer de Berenguer III,,1
BLAS INFANTE 14-16|08170|MONTORNES DEL VALLES,41.540498,2.263486,41.540498,2.263486,0.00,Carrer de Blas Infante,,1
BLAS INFANTE 15|08170|MONTORNES DEL VALLES,41.540498,2.263486,41.540498,2.263486,0.00,Carrer de Blas Infante,,1
BLAS INFANTE 22|08170|MONTORNES DEL VALLES,41.540498,2.263486,41.540498,2.263486,0.00,Carrer de Blas Infante,,1
BLAS INFANTE 2|08170|MONTORNES DEL VALLES,41.540498,2.263486,41.540498,2.263486,0.00,Carrer de Blas Infante,,1
BP-4654 KM 1.2|08588|SORA,42.088247,2.145974,42.088247,2.145974,0.00,,,1
BV-5006 5006|08106|SANTA MARIA DE MARTORELLES,41.522614,2.245024,41.523704,2.246119,151.68,Avinguda de Joan XXIII,,1
"C/ PRAT DE LA RIBA, 13|08830|SANT BOI DE LLOBREGAT",41.331323,2.034142,41.340980,2.029012,1155.31,Carrer de la Vansa,,0
CALLE AGRICULTURA 18|08100|MOLLET DEL VALLES,41.544874,2.205318,41.544745,2.205371,14.99,Carrer de l'Agricultura,,1
CALLE AGRICULTURA 37|08100|MOLLET DEL VALLES,41.544952,2.206446,41.545008,2.206395,7.54,Carrer de l'Agricultura,,1
CALLE ALFONS IV 85|08402|GRANOLLERS,41.603496,2.287921,41.603496,2.287921,0.00,Carrer d'Alfons IV,,1
CALLE ANDREU FEBRER 1|08500|VIC,41.925284,2.254040,41.925187,2.254053,10.83,Carrer d'Andreu Febrer,,1
CALLE ANNIBAL 26|08401|GRANOLLERS,41.606800,2.284828,41.606800,2.284828,0.00,Carrer d'Anníbal,,1
CALLE ANNIBAL 59|08401|GRANOLLERS,41.606800,2.284828,41.606800,2.284828,0.00,Carrer d'Anníbal,,1
CALLE ANSELM CLAVE 19-21|08100|MOLLET DEL VALLES,41.540111,2.216688,41.540112,2.216688,0.11,Carrer d'Anselm Clavé,,1
CALLE ANSELM CLAVE 1|08402|GRANOLLERS,41.606885,2.288425,41.606826,2.289345,76.95,Plaça Pau Casals,,1
CALLE ANSELM CLAVE 2|08186|LLI#A D'AMUNT,41.609158,2.239292,41.609158,2.239293,0.08,Carrer d'Anselm Clavé,,1
CALLE ANSELM CLAVE 43|08100|MOLLET DEL VALLES,41.540111,2.216688,41.540112,2.216688,0.11,Carrer d'Anselm Clavé,,1
CALLE ANSELM CLAVE 70|08186|LLICA D'AMUNT,41.609158,2.239292,41.609158,2.239293,0.08,Carrer d'Anselm Clavé,,1
